name,mae_temp,mae_humidity,mae_cloudcover,mae_sealevelpressure,mae_windspeed,mae_precip
ACEH,0.945,4.12,10.45,1.052,5.654,3.87
BALI,0.777,3.29,9.505,1.37,5.198,6.6
BANGKA BELITUNG,0.593,3.515,10.668,1.026,4.191,8.788
BANTEN,0.675,4.372,7.684,1.064,5.233,6.508
BENGKULU,0.572,2.762,12.703,1.031,4.544,11.874
GORONTALO,0.507,3.529,13.059,1.07,3.751,3.322
JAKARTA,0.73,4.675,6.71,1.075,4.698,8.383
JAMBI,0.677,3.468,10.027,0.942,2.845,6.545
JAWA BARAT,0.58,4.42,13.055,1.068,4.859,8.217
JAWA TENGAH,0.805,5.924,9.923,1.173,3.897,4.565
JAWA TIMUR,0.885,4.94,11.162,1.21,3.331,4.883
KALIMANTAN BARAT,0.725,4.249,11.624,1.015,4.682,10.69
KALIMANTAN SELATAN,0.763,4.267,11.411,1.061,3.929,8.886
KALIMANTAN TENGAH,0.712,4.374,10.789,1.052,3.052,4.137
KALIMANTAN TIMUR,0.682,3.142,11.589,1.004,3.172,6.03
KALIMANTAN UTARA,0.646,2.739,10.468,1.031,4.034,9.628
KEPULAUAN RIAU,0.736,3.669,6.781,1.067,4.224,8.051
LAMPUNG,0.604,3.65,13.445,1.017,2.941,3.452
MALUKU UTARA,0.61,3.54,12.239,1.051,4.005,7.515
MALUKU,0.924,3.32,10.172,1.164,4.758,12.849
NUSA TENGGARA BARAT,0.925,3.545,10.86,1.368,3.967,6.752
NUSA TENGGARA TIMUR,0.886,4.979,14.464,1.687,7.178,5.132
PAPUA BARAT DAYA,0.688,4.747,6.296,1.073,4.714,6.34
PAPUA BARAT,0.467,2.629,12.062,1.103,3.924,7.931
PAPUA PEGUNUNGAN,0.844,3.412,10.058,1.408,1.107,4.333
PAPUA SELATAN,0.768,6.528,6.982,1.058,3.822,8.662
PAPUA TENGAH,0.919,4.784,10.123,1.205,3.508,5.892
PAPUA,0.713,3.732,8.567,1.171,4.949,8.398
RIAU,0.755,3.978,9.915,1.103,2.742,0.391
SULAWESI BARAT,0.637,3.415,10.623,1.03,3.702,5.813
SULAWESI SELATAN,0.764,6.694,6.749,1.044,3.168,9.267
SULAWESI TENGAH,0.795,3.112,9.976,1.018,4.768,4.126
SULAWESI TENGGARA,0.888,4.115,14.145,1.242,3.271,5.184
SULAWESI UTARA,0.7,5.328,7.221,1.031,3.889,9.723
SUMATERA BARAT,0.597,3.522,13.063,0.958,3.896,8.874
SUMATERA SELATAN,0.729,4.166,9.79,1.049,3.935,4.23
SUMATERA UTARA,0.703,2.984,9.658,1.113,3.854,2.685
YOGYAKARTA,0.878,3.946,16.177,1.277,4.047,4.942
