name,mse_temp,mse_humidity,mse_cloudcover,mse_sealevelpressure,mse_windspeed,mse_precip
ACEH,0.329,9.186,127.076,0.597,64.329,92.796
BALI,0.265,8.472,92.184,0.518,32.928,161.741
BANGKA BELITUNG,0.328,7.59,111.425,0.441,27.265,264.738
BANTEN,0.407,12.186,64.201,0.459,29.823,185.39
BENGKULU,0.271,8.21,135.693,0.524,46.573,501.128
GORONTALO,0.185,6.226,145.25,0.439,34.365,91.414
JAKARTA,0.44,14.231,49.977,0.477,65.591,344.531
JAMBI,0.407,9.673,100.844,0.432,17.973,112.163
JAWA BARAT,0.209,10.958,123.262,0.45,48.907,218.749
JAWA TENGAH,0.35,12.166,74.721,0.501,15.668,111.522
JAWA TIMUR,0.358,9.744,86.712,0.462,22.916,125.948
KALIMANTAN BARAT,0.524,12.572,79.069,0.547,60.821,298.008
KALIMANTAN SELATAN,0.622,14.668,121.364,0.546,73.141,238.065
KALIMANTAN TENGAH,0.534,13.679,127.242,0.56,25.133,94.524
KALIMANTAN TIMUR,0.407,10.106,140.973,0.487,35.406,60.828
KALIMANTAN UTARA,0.421,8.103,129.636,0.513,48.276,338.513
KEPULAUAN RIAU,0.483,11.67,26.009,0.519,40.351,366.32
LAMPUNG,0.258,10.27,135.715,0.386,12.49,86.149
MALUKU UTARA,0.187,5.688,136.285,0.405,22.15,176.826
MALUKU,0.368,10.125,93.437,0.376,114.343,518.568
NUSA TENGGARA BARAT,0.348,8.151,101.214,0.492,22.062,182.301
NUSA TENGGARA TIMUR,0.389,14.209,146.745,0.487,224.219,131.138
PAPUA BARAT DAYA,0.403,13.165,42.252,0.473,61.03,88.732
PAPUA BARAT,0.219,7.031,176.761,0.446,28.573,247.662
PAPUA PEGUNUNGAN,0.329,14.406,99.843,0.421,1.306,30.973
PAPUA SELATAN,0.527,18.71,47.911,0.514,11.656,237.404
PAPUA TENGAH,0.361,10.464,67.297,0.515,17.047,111.423
PAPUA,0.647,15.754,64.974,0.621,73.502,238.496
RIAU,0.642,16.858,74.493,0.558,29.465,0.59
SULAWESI BARAT,0.268,9.047,101.846,0.45,21.731,104.59
SULAWESI SELATAN,0.527,18.775,47.875,0.512,16.576,363.308
SULAWESI TENGAH,0.292,9.266,113.174,0.496,38.32,73.173
SULAWESI TENGGARA,0.211,7.544,173.685,0.364,28.261,61.855
SULAWESI UTARA,0.505,16.412,47.781,0.457,35.792,312.934
SUMATERA BARAT,0.313,11.646,152.697,0.52,29.548,293.838
SUMATERA SELATAN,0.543,12.477,73.008,0.479,69.938,86.502
SUMATERA UTARA,0.493,8.987,77.774,0.602,82.219,51.595
YOGYAKARTA,0.301,7.866,206.511,0.666,14.632,47.245
